case_id,model,material,deviation_from_pinn_score,deviation_from_ensemble_score,travel_time_ms_pred_abs_diff_pinn,max_displacement_abs_diff_pinn,max_temperature_perturbation_abs_diff_pinn,magnitude_abs_diff_pinn,travel_time_ms_pred_rel_diff_pinn,max_displacement_rel_diff_pinn,max_temperature_perturbation_rel_diff_pinn,magnitude_rel_diff_pinn
case_025_limestone,pinn,limestone,0.0,0.9612374704795125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_025_limestone,mgn,limestone,41.94225892240759,0.9243003453424733,3.1588390000000004,0.0020227258139241,3.07252425390625,0.954905,36.660349329348804,87.66635141757676,22.266927470062054,21.175407472642746
case_025_limestone,fno,limestone,719771316.7430161,8198920.993725911,1.5588389999999999,66372.492164427,119226.877639,71744.73496100001,18.091324783634985,2876630229.6102276,864050.538736799,1590968.7317753418
case_025_limestone,transformer,limestone,1291.5117123275782,0.4684959902463307,0.02396999999999999,0.00198768,697.9947040000001,0.954905,0.27818719897547495,86.14744133197064,5058.445813306724,21.175407472642746
case_026_limestone,pinn,limestone,0.0,0.9610391437549355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_026_limestone,mgn,limestone,53.408467547410616,0.9377399091719041,2.341872,0.0020146078139241003,3.17505725390625,0.953871,38.80933993936647,64.58939275222684,89.55680066049963,20.678336837549516
case_026_limestone,fno,limestone,533233679.49521774,8199905.565824186,1.141872,66374.960906309,119227.292672,71746.997033,18.923023382680295,2128016375.8229175,3362967.6661675186,1555355.5687624845
case_026_limestone,transformer,limestone,4943.821697771895,0.46924831156943886,0.018148000000000004,0.0019792250000000003,698.0998010000001,0.953871,0.3007473940589506,63.455001011349395,19690.85270584462,20.678336837549516
case_027_limestone,pinn,limestone,0.0,0.958906921858663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_027_limestone,mgn,limestone,30.725135645606514,0.9377326448545719,2.338004,0.0020129288139241,2.64331325390625,0.953682,36.411269096628125,61.23908587420183,4.66030894715873,20.58987866443737
case_027_limestone,fno,limestone,505250338.53647697,8197499.342788008,1.138004,66372.49215463,119228.2687405,71744.73373800001,17.72288237190321,2019242170.227801,210206.09901020248,1548960.0962142376
case_027_limestone,transformer,limestone,335.6719882614527,0.4692410472521066,0.014280000000000001,0.001978587,715.62189,0.953682,0.22239180202422648,60.194309090529075,1261.6813734888203,20.58987866443737
case_028_limestone,pinn,limestone,0.0,0.94812377014271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_028_limestone,mgn,limestone,46.316754565130616,0.5993308719437096,1.510299,0.0020291258139241,3.09840325390625,0.955332,14.540421107216392,121.70129504125262,27.637910691380664,21.3873914206728
case_028_limestone,fno,limestone,995876567.8892249,8198920.976011231,1.110299,66372.492170827,119226.903518,71744.735388,10.6894164764204,3980836573.501495,1063509.8924860756,1606177.4735021454
case_028_limestone,transformer,limestone,1591.909389612811,0.4507813098680392,0.028314999999999993,0.00199408,698.020583,0.955332,0.27260299030247126,119.59934507291159,6226.3782189673575,21.3873914206728
case_029_limestone,pinn,limestone,0.0,0.9476191140531321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_029_limestone,mgn,limestone,43.32436059974484,0.599323588548483,1.509174,0.0020288158139241,3.04235125390625,0.955297,14.373907080267692,119.4615612355025,18.0921107635521,21.36986331965707
case_029_limestone,fno,limestone,977621532.6734197,8198685.02780787,1.1091739999999999,66372.492170517,119226.847466,71744.735353,10.564165571265363,3908172187.6196675,709012.5860958437,1604919.9237499738
case_029_limestone,transformer,limestone,1072.4091541253945,0.45077402647281267,0.027189999999999992,0.001993887,697.9612360000001,0.955297,0.25896717907443306,117.4048685506172,4150.602917452229,21.36986331965707
case_030_limestone,pinn,limestone,0.0,0.9478553957419068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_030_limestone,mgn,limestone,43.443272311971874,0.5993517657875483,1.51156,0.0020240618139241,3.14044225390625,0.954763,14.731404958534116,93.11596452169738,44.81992141721513,21.105798350440885
case_030_limestone,fno,limestone,764180327.5635039,8199598.647450786,1.1115599999999999,66372.492165763,119226.945557,71744.734819,10.833073444460146,3053433735.6732426,1701589.1070859507,1585974.640613083
case_030_limestone,transformer,limestone,2518.8883968744017,0.45080220371187807,0.02957599999999999,0.00198868,698.064453,0.954763,0.28824263215062906,91.48824163922154,9962.671304875794,21.105798350440885
case_031_sandstone,pinn,sandstone,0.0,0.9613199188915083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_031_sandstone,mgn,sandstone,52.53340353934977,0.9419113556288233,3.254495,0.0020310828139241,3.01434725390625,0.959721,32.92157279241602,138.01866511996704,15.36654340467307,23.826832840342938
case_031_sandstone,fno,sandstone,1128153782.8787656,9806860.963145247,1.654495,66372.492172784,119226.819462,71744.73977700001,16.736414582658245,4510226125.479606,607794.6374259784,1781194.661615701
case_031_sandstone,transformer,sandstone,963.1418699027921,0.5161312199757254,0.026697,0.001329696,733.2795450000001,0.959721,0.2700594804536896,90.35715613229438,3738.1134311580777,23.826832840342938
case_032_sandstone,pinn,sandstone,0.0,0.9555855714327808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_032_sandstone,mgn,sandstone,68.46543097238342,0.7775652842292237,2.0568969999999998,0.0020337028139241,3.15819525390625,0.96006,21.325160179761074,168.13017905042335,60.36882832544932,24.03755633389991
case_032_sandstone,fno,sandstone,1372804689.1724112,9806869.61672748,1.256897,66372.492175404,119226.96331,71744.740116,13.031051070841736,5487143410.074453,2279020.611826837,1796312.9723135624
case_032_sandstone,transformer,sandstone,3538.443953766436,0.5070947195411445,0.029099,0.001332313,733.4192429999999,0.96006,0.3016878512005548,110.1449148359032,14019.291656044741,24.03755633389991
case_033_sandstone,pinn,sandstone,0.0,0.9645694410014889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_033_sandstone,mgn,sandstone,39.208708216253584,1.0789728503651643,2.905645,0.0020207998139241,2.66441025390625,0.958436,48.06134938802684,80.8352227324644,4.878978674054882,23.059282070468214
case_033_sandstone,fno,sandstone,664237563.968085,9806860.866793048,1.305645,66372.492162501,119228.2898375,71744.738492,21.596258497418063,2655005780.53103,218326.84460223708,1726126.9004492802
case_033_sandstone,transformer,sandstone,354.9854786529637,0.5236702659877076,0.014096999999999998,0.001319413,733.8878599999999,0.958436,0.23317399142806997,52.7786290340162,1343.8708295159422,23.059282070468214
case_034_sandstone,pinn,sandstone,0.0,0.9512771047773427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_034_sandstone,mgn,sandstone,34.27255483584577,0.7431093166869767,1.108123,0.0020206128139241,3.00571825390625,0.95846,19.112489004309964,80.22761588566999,14.676931979235386,23.073182474167712
case_034_sandstone,fno,sandstone,659400580.6128567,9806866.727188572,0.708123,66372.492162314,119226.810833,71744.738516,12.213439348519058,2635293001.152267,582184.9038654723,1727124.1818553894
